is_closed,name,price,rating,review_count,id,alias_list,ZIP_code
False,Fit4Dance,,5.0,28,GNj9XqjoLBtaas966ir5fQ,['dancestudio'],11213
False,Blink Fitness,,3.5,33,ak4KZi4D6LTO-iMKO87Qhw,['gyms'],11213
False,St. John's Recreation Center,,4.0,12,_pzqjXGMtuL5dbAMm5Yeww,['recreation'],11213
False,Brower Park,,4.5,11,VfvhHz-KlwaWcTCpDPKFbw,['parks'],11213
False,Crunch - Crown Heights,,3.5,45,xdXgfMFSigdQdtO3soqMiA,"['gyms', 'healthtrainers', 'yoga']",11213
False,Capoeira Fit Brooklyn,,5.0,17,AY3H0k0ccSw5xWuUpe89Xg,"['martialarts', 'yoga']",11213
False,Blink Fitness,,3.5,24,uE2QQ4REKWjmKKpkRTAjBA,['gyms'],11213
False,Fulton Park,,4.5,3,wG4_UitzRC59eDolBlel3A,['parks'],11213
False,Humble Dojang of Martial Arts,,5.0,3,2erfs-xsUpj-eFMRCnjZFg,['martialarts'],11213
False,KayKar All About The Children Center,,5.0,1,0ySu0Kqf9xl3JGhXMcVWzw,"['preschools', 'summer_camps']",11213
False,NY Fitness Group,,5.0,1,wJg3z1-JV_eDBY_6UsfKWQ,['healthtrainers'],11213
False,Prescription Personal Training,,5.0,1,LXHJExi4t8roFg_-mya29Q,['healthtrainers'],11213
False,Marc And Jason's Playground,,3.0,1,C0ldBY4c9uv6efZYyeZYRA,"['basketballcourts', 'playgrounds']",11213
False,My Healthy Sport NYC,,4.0,1,vm4oi34IsuV7pIpyQtIbtw,['fitness'],11213
False,Lula Body,,5.0,2,gwO-tYnFozycQBPauVZSJw,['pilates'],11213
False,AIRA,,5.0,1,UeGg82SJYNQ7OWqjY5DduA,['yoga'],11213
False,Brooklyn Children's Museum,,4.0,142,KZzQAu5EQjZsXmXE3oEATw,['childrensmuseums'],11213
False,Three Star Juice Lounge,$,4.0,35,hsvIF51t5zd2qPFerWYbqw,"['juicebars', 'musicvenues', 'newamerican']",11213
False,The Jewish Children's Museum,,3.5,4,gEEj1NJ2Dut4XSK57NvhHg,['childrensmuseums'],11213
False,The THNK1994 Museum,$,5.0,3,RqjhkH_nON3eerKPrct6hQ,"['galleries', 'artmuseums']",11213
False,The Bushwick Shakespeare Repertory Theater,,5.0,2,NG1GWTB6llG5SCrokzm_dA,['theater'],11213
False,Billie Holiday Theatre,,4.5,2,jmM8PhCimDvWzyDwpLO6Wg,['theater'],11213
False,The Noel Pointer Foundation,,5.0,1,byrB6T_t9p8pjiZ2OibepQ,"['theater', 'nonprofit', 'musicalinstrumentsandteachers']",11213
False,Tap+Cork,,5.0,1,gVBb4JpCUMJmQOxpMGx8rA,['festivals'],11213
False,Asase Yaa Center For the Arts,,5.0,2,6sDb_TdHt5FHGNlQqAziTw,"['culturalcenter', 'theater']",11213
False,A Streetcar Named Desire,,4.0,1,sXpesGZ8jnso1KZx4zdKYw,['theater'],11213
False,NY Fun Music Tour,,3.5,2,NPP94yheaXTy8EHgTaCQEA,"['tours', 'musicvenues']",11213
False,International African Arts Festival,,2.0,1,UeK8x_vPma2Gr1LrAmnISw,['festivals'],11213
False,The Betzalel Gallery,,5.0,1,edqlHP4OlbpyLCBD2EbX-w,"['galleries', 'framing', 'artspacerentals']",11213
False,Otsie Kerplotsie the Clown,,5.0,2,EHLgY0qDs1ExKyrZ87SIxw,['theater'],11213
False,Precision Transmissions,,4.5,176,D7QImf44rY1xZ3jd-PTFGQ,"['bodyshops', 'autorepair', 'autoglass']",11213
False,Rush Auto Tire Shop,,4.5,72,PrOorzBOJA82nVqzzMw9rA,"['tires', 'wheelrimrepair']",11213
False,Atlantic Service and Repair,,4.5,9,A9q0lL-rpi2WJY_KYATP1g,['bodyshops'],11213
False,Matt's Towing,,4.5,16,vCmGdDFk-Qk7r-EKCejAVQ,"['towing', 'roadsideassist']",11213
False,Quick Fix Mobile Tire Repair,,5.0,7,Iw6iiT6pk5GDNrCkiWoXkQ,"['tires', 'roadsideassist']",11213
False,Arminda Service,,3.5,4,d-K6P9swplpTTKMtytKuXw,['servicestations'],11213
False,A Plus Car Stereo And Alarm,,5.0,1,me87XOReK-YV7DVKdIoV-A,['stereo_installation'],11213
False,Empire Auto Collision,,3.5,3,7suK_zt4Rl14MzOHPFoppA,['autorepair'],11213
False,South Ave Auto,,5.0,2,h--goAq5TEfQQSbNeLm2ew,"['autorepair', 'car_dealers']",11213
False,Head Gone,,3.5,7,FFrIYK-ufuuy7dzjDutjcQ,"['autorepair', 'motorcyclerepair', 'bodyshops']",11213
False,Nationwide Auto & Truck Painting,,5.0,3,Q6UYJ-f0U_SRPd32WeE4eg,"['bodyshops', 'auto_detailing']",11213
False,Empire Mobile Oil Change,,5.0,1,DeX1NxBVSkhSBCa3Zjc4aw,['oilchange'],11213
False,Empire Auto Repairs Inc,,5.0,1,GgMA62_U0IkUl2lMUMn1Jg,"['oilchange', 'autorepair']",11213
False,U-Haul Neighborhood Dealer,$$,1.5,9,JqVfQCli3ZHqVNY3-BgQCA,"['truck_rental', 'packingsupplies']",11213
False,Mister Sign,,2.5,5,J2kR5veoYDwgTm-bBw6SoA,"['graphicdesign', 'vehiclewraps', 'signmaking']",11213
False,Tiffany's Automotive,,1.5,8,Be5riffgMYV-ppNR6VpsYQ,"['bodyshops', 'autorepair']",11213
False,Tar-Hill Auto Repair,,1.0,1,jwyG-cj7wHgZxLd5xyFn0g,['autorepair'],11213
False,Bedstar Car Service,,1.5,3,SiR-O-rVCNCw_edAutWq8Q,['autorepair'],11213
False,Auto City International,,1.0,3,f_b3dSXCRNpBL269e-b2lQ,['car_dealers'],11213
False,Rear View Safety,,1.0,1,yQwRqfFZfYdqET1Qp1l98Q,['autopartssupplies'],11213
False,Aj's Collision Center Corp.,,1.0,4,VGnZlJi7C0_y2QvGPZhGsw,['autorepair'],11213
False,1450 Atlantic Star,,1.0,1,jHtRZoefI7pnru_oo0PTRA,['servicestations'],11213
False,F&R Parking Lot,,1.0,1,2o7_w2fPIzV0sxFo65USsQ,['parking'],11213
False,FrontLine Automotive,,1.0,1,ZMeroi6puoIeahnGFTi86Q,['bodyshops'],11213
False,Stuyvesant Heights Automotive,,4.0,1,hF7ZwjIZoWOHhYa3zQIMyQ,['autorepair'],11213
False,New Horizon Automotive,,3.0,2,TbGsiJSvCyZyNIylEiVLAQ,['autorepair'],11213
False,Victoria Auto Repair,,5.0,1,beyiEfa-5bDaVSxZhfgtag,['autorepair'],11213
False,East New York Auto Center,,5.0,1,P27a9cbUG17LfCrNb8_MUQ,"['autorepair', 'bodyshops']",11213
False,Central Parking,,1.0,1,RXga5OiTaVwHfn5TmrwaFA,['parking'],11213
False,Blooming Brows,$,4.0,144,MbfiyuX9FgMyRxS1iEKzxA,"['threadingservices', 'waxing', 'eyelashservice']",11213
False,Vanity Hair Studio NYC,$$,5.0,36,YVP6RtkQaH2-V1OXG50grA,['hair'],11213
False,Vip Nail Spa,$,3.5,59,5PKV_4hG5EuBWSV186dY3w,['othersalons'],11213
False,The Beauty Boutique,$$,4.5,27,tOklWQ8RjY9SZEbOYM_ycQ,['hair'],11213
False,Kartel Studio,$$$,5.0,15,Yv2Esgbm8ERGIxCtg6abJQ,['tattoo'],11213
False,Camera Ready Kutz,$,4.5,20,dW-mhoR5M53NLTMsouHrpA,['barbers'],11213
False,Lopez Beauty Salon,$$,4.0,14,dnw8J9loE3K6ut66nqsjBQ,['hair'],11213
False,Tina Golden Nails,$,3.5,20,MUGQnnIZEjSJcflJLkJjVg,['othersalons'],11213
False,Beauty Mark by Kimberly Hylton,$$,4.5,8,XD92u34dlS_dju70zIDZAQ,"['hairstylists', 'hair_extensions']",11213
False,Make up by Olabisi,,5.0,13,sac19c4Mo-8JJZzTSZBlcg,"['makeupartists', 'skincare']",11213
False,"Bobby Buka, MD",$$,5.0,10,DI0Icd4Wkp6BY1STrkWeSw,"['dermatology', 'medicalspa', 'laser_hair_removal']",11213
False,Jenna Drudi,$$$,4.0,10,qOK_3x0-wfH0E7Wg-tkcew,"['makeupartists', 'hairstylists']",11213
False,Crown Ink Studio,$$,4.5,11,ls1eM6iVFJSzmB_SZWiJ7g,"['tattoo', 'piercing']",11213
False,Cisse Hair Braiding,$$,3.5,34,DLNzO8E-03MPZGLsSmn-Og,['hair'],11213
False,NOVA,$$,5.0,18,wvbgfxlHJBRq6i4j3O_YUA,['cosmetics'],11213
False,Nicholas Brooklyn,$,5.0,9,egXI2-vydZqnrKVD2tJjDg,"['cosmetics', 'accessories', 'homedecor']",11213
False,Coral Nails & Spa,$,3.0,17,NzbhiATVseT4SjnXVQdxdw,['othersalons'],11213
False,Alter Image Salon,$$,4.0,6,qpIahwlf3RSvAI4sHEexjw,"['hair', 'wigs']",11213
False,Brooklyn Beauty Mix,$$,4.0,20,bsNRXaX5HyvXFLcbB8JGBg,['hair'],11213
False,Most Grace Nails & Spa,$,3.5,18,u-mPcqR-75rpfVx8ssE1cQ,"['othersalons', 'spas']",11213
False,Sorayahs Salon Services,$$,3.5,10,Yl5RdRpRP7ey870A-tuEpw,['hair'],11213
False,Hayleigh Hatcher's House of Beauty,$$,5.0,15,p6tZx1EaJFio87OJ1pL8iA,"['makeupartists', 'hairstylists']",11213
False,Hair Love Ladies,$$,5.0,6,Kzm8udDaxowORnVX4rfM6A,"['hairstylists', 'hair_extensions']",11213
False,GStar The Salon,$$$,4.0,9,hUXm9EXvhvAdOhOotVG44A,"['hair', 'eyelashservice']",11213
False,MCMC Fragrances,$$,4.5,11,8XSUsn75oQrz4e7Jmc0UyA,['cosmetics'],11213
False,The Cowrie Shell Center,$$$$,5.0,4,8Jq_mRsVbmA8L7I7xpnAjg,"['hair', 'cosmetics', 'skincare']",11213
False,Mbadinga's Unisex Salon & Hair Braiding,$$,3.0,17,AIs1NPUQ9TAbE95fQgNt3w,['hair'],11213
False,Bklyn Beauty Mix,$$,4.5,13,3UugMMQchQV-71hszo_nTQ,"['waxing', 'hair', 'makeupartists']",11213
False,Diamond Kouture Hair Studio,,5.0,5,cb4jAWz1pBcZ9i8liC595Q,['hair'],11213
False,Mr Joe & Company,,5.0,3,KF9_gj6pljld-7oll4KTUA,['barbers'],11213
False,Shelly's,$$,3.0,10,MgA0JpVQT5a1tS4dRTI0Tg,['hair'],11213
False,Kwa Imani Massage,$$,5.0,2,unDaWGOUq6vcxgdNcvlObA,['massage'],11213
False,Art Makeup Pros,$$,5.0,4,IcVDa50T4FWtacITMrS7ew,['makeupartists'],11213
False,Ultra Appearencez,$,5.0,1,JiKQfji-6SU4tiFuIZAJ7w,['barbers'],11213
False,M & G Salon Unisex,$,5.0,2,9AjiM1fuxEQ7AMMNVJWMAQ,['hair'],11213
False,Dana Banks Salon,$$$,5.0,1,QROn16hwKdamlZFCiw30iA,['hair'],11213
False,Just Locs,$$,3.5,5,PyVZEEAvK6zUt5iXtHAGvg,['hair'],11213
False,Anat's Wigs Studio & Design,,5.0,1,PjwiPUJjXIxLrMHrLM5XOA,['hair'],11213
False,Cherry's Unisex,$,3.0,5,ghieo25WoaFP6QkSfK4WZQ,['hairstylists'],11213
False,Aisha African Hair Braiding,,3.0,6,2ug_tRmsqAx6h2tm7V_1gw,['hairstylists'],11213
False,Feel Beauty Supply,$$,2.5,3,UtoYKRVBE7E1dyUR3ZPzxQ,['cosmetics'],11213
False,The Catrina Ink,$$,3.0,2,PsUB5cNYYc5gTtQIqUKMwg,['tattoo'],11213
False,Happy Lucky Nail,$$,4.0,3,Nqrej7eV1LVzEX5g2iHa4Q,['othersalons'],11213
