is_closed,name,price,rating,review_count,id,alias_list,ZIP_code
False,The High Line,,4.5,2088,JION8hhg7q6zyayHYwhxIw,"['parks', 'localflavor']",10011
False,West Side Rifle & Pistol Range,,4.5,185,M_goU8bCZviIZ61l7fBDtw,['gun_ranges'],10011
False,Escape The Room NYC - Midtown,,4.5,381,WFSO0lUG6dMWynn4lNOmBw,['escapegames'],10011
False,Peloton,,4.0,278,Okb0vL3kcPQnADkdqec9FQ,"['cyclingclasses', 'gyms', 'healthtrainers']",10011
False,Madison Square Park,,4.5,352,R3ci6iQRLIIK0Eq1-cY_pw,['parks'],10011
False,Union Square,,4.0,386,S12Cjy-gIHB-Vlx0EjOzVw,['parks'],10011
False,Washington Square Park,,4.5,506,bJQZKARP-Xn2AEqNNMe9OA,['parks'],10011
False,SWERVE Fitness,,4.5,144,QRaLWGGHI4m9RXDNGvdUmw,"['fitness', 'cyclingclasses']",10011
False,Body Space Fitness,,5.0,72,1LYMsMDDi1SFghrp09k-ig,"['gyms', 'healthtrainers', 'physicaltherapy']",10011
False,305 Fitness,,5.0,155,Utcu3PrZG2wteeOnyT1DkA,"['gyms', 'dancestudio', 'healthtrainers']",10011
False,Modo Yoga NYC - West Village,,4.5,150,tGtrhu0YDGkM9ECrYVz6xg,['yoga'],10011
False,Flywheel Sports - Flatiron,,4.0,182,3ulKuV3srv0ef6ZUZi0S2A,"['gyms', 'cyclingclasses', 'barreclasses']",10011
False,Rey Diving,,5.0,46,DknP-R3ufm-1_dqRe_EBMA,['scuba'],10011
False,Barry's Bootcamp Chelsea,,4.0,160,UA546ImqzJEt6uD1uD_eHA,"['healthtrainers', 'gyms', 'bootcamps']",10011
False,Narwhal Yacht Charters,,5.0,180,K4q6kuN3h4IooBarH2JdIA,"['boating', 'boatcharters', 'sailing']",10011
False,Uplift Studios,,4.5,120,QCWICtM_cPGeipZIGlBVNQ,"['healthtrainers', 'gyms']",10011
False,Laughing Lotus Yoga Center,,4.0,191,BAjD78K-IONxlGSVeEpzYw,['yoga'],10011
False,NYSC Lab,,4.5,105,VI-1gfoAOp3TmQLrwwzizw,"['barreclasses', 'gyms']",10011
False,Yogamaya,,4.5,119,nkUwnPPYmCICZ8nYCu_twg,['yoga'],10011
False,Circuit of Change,,4.5,87,sHVonPhUbLh8lP2uMCBx-A,"['martialarts', 'bootcamps', 'yoga']",10011
False,iLoveKickboxing.com,,4.5,211,wYLRv2uR3VGvVrydWPv9ug,"['gyms', 'kickboxing']",10011
False,CityRow - Union Square,,4.5,129,dotZ-G6DyoxBDOWKulw6RA,"['gyms', 'healthtrainers', 'cardioclasses']",10011
False,Leo Results Fitness,,5.0,55,X5DR-gwCEp10ocrMPxLo4Q,['healthtrainers'],10011
False,Rumble Boxing,,4.5,100,Pr7iHnaFyBbj2jBJwGSMWQ,['boxing'],10011
False,Fhitting Room,,4.5,79,J0ltGSBhUA74Bfa41N_l6A,"['healthtrainers', 'gyms', 'bootcamps']",10011
False,Rich Barretta Private Training,,5.0,68,TGvCTYtbPmZbquxH36mxUw,"['gyms', 'healthtrainers']",10011
False,BrainXcape,,5.0,52,O5AQCHaBe2WTHsxV-WeK-w,['escapegames'],10011
False,SPiN,$$,4.0,410,2omGjYIPB0N8oNwws6ZdJA,"['sports_clubs', 'tradamerican', 'cocktailbars']",10011
False,Liftonic,,5.0,63,2vN5p0SoqDGPcUCM-79nsg,['gyms'],10011
False,Yoga Vida - Union Square,,4.0,163,IVCev2hppjUUUZUW2kVfJg,"['yoga', 'pilates']",10011
False,Body & Pole,,4.0,172,OxS5vMAKiGxsv_HgUETtbQ,"['dancestudio', 'poledancingclasses']",10011
False,Row House,,4.5,60,dWNE-ysBg2QphRuPgvy2mg,['cardioclasses'],10011
False,Classic Harbor Line,,4.5,251,jA5dLV24FRLPHYOdSpBs5w,"['boating', 'boatcharters']",10011
False,CLAY Health Club + Spa,$$$,4.0,87,tpB26lxKy4c-yhLRU_EUAQ,"['gyms', 'spas']",10011
False,Marcelo Garcia Jiu Jitsu Academy,,5.0,39,y_trK8lM-UxG6ukDqzG6pw,['martialarts'],10011
False,Integral Yoga Institute,,4.0,82,TQpMRElRg2cTKZI50W8Veg,"['yoga', 'massage', 'reiki']",10011
False,Thaddeus Harvey Personal Trainer,,5.0,48,xFgdPZMWoYuaTgBftX8LPA,['healthtrainers'],10011
False,Hot On Yoga 27th,,4.0,139,I3-EsRgXDcLx3OrlACCx3Q,['yoga'],10011
False,Chelsea Piers Fitness,,4.5,141,YMceMR-Hk_Vq5vbUGoetrQ,"['gyms', 'swimmingpools', 'sports_clubs']",10011
False,Mile High Run Club,,4.5,57,WgWznoU9GUcfWq_xV0swvA,['healthtrainers'],10011
False,Flex Studios,,4.5,41,pFDy8BN_6tJgKVPnihuNVQ,"['pilates', 'barreclasses']",10011
False,Dynamic Body Pilates,,5.0,55,COxB_72tmQu4ILQeU0OUUg,['pilates'],10011
False,Mystery Room NYC,,5.0,120,S3GZDqoAt72KnP1YrrpimA,['escapegames'],10011
False,Dharma Yoga Center,,4.0,52,Zhw2qXOa9EJ5l0g6_QjDww,['yoga'],10011
False,Refine Method,,5.0,79,uH3vhK1Y6TrNQ5u8XeQKfg,"['gyms', 'healthtrainers']",10011
False,Flywheel Sports - Chelsea,,4.0,48,xRxpS6CBKaFNkMSW6JneVQ,"['gyms', 'cyclingclasses']",10011
False,Female Awareness Self Defense,,5.0,47,Qx32mjqli7IYDwzVihHKCQ,['martialarts'],10011
False,Yoga Union,,4.5,66,nuhFcWqgHBwmgwlbm4rI9w,['yoga'],10011
False,Crunch - 19th Street,,3.5,95,CiVkmHpcGhGMxElD70_6aA,"['gyms', 'healthtrainers', 'yoga']",10011
False,Brick New York,,4.5,47,O6ApQ0csoQqG6y3rW2zBcg,"['gyms', 'bootcamps']",10011
False,SoulCycle - Union Square,,4.0,109,tDZaCE-mbZYd0UXDiLQQog,['cyclingclasses'],10011
False,Equinox Greenwich Avenue,$$$,3.5,120,Ag-dQZ3rGqt8W6CnlNJNqw,"['spas', 'gyms', 'sports_clubs']",10011
False,Ishta Yoga,,4.0,109,dyoVHWTjlXlpr2kvpoe8_g,"['yoga', 'massage_therapy']",10011
False,Radical MMA,,5.0,46,K1kc_Y133xTvfoWwMipLMg,"['gyms', 'healthtrainers', 'brazilianjiujitsu']",10011
False,trampoLEAN,,4.5,65,mV_0wroHy1Ihvblz3QqKYg,['healthtrainers'],10011
False,Evolution Muay Thai,,4.5,43,-u1T5pgYouWfyH7hbk3RQw,"['muaythai', 'brazilianjiujitsu', 'healthtrainers']",10011
False,McBurney Branch YMCA,,3.5,91,90OAg_iySd0iNqO3q-50WA,"['gyms', 'childcare']",10011
False,Exodus Escape Room,,4.5,131,o4JIWxryXkDrZk45W3nTpg,['escapegames'],10011
False,Pure Barre - New York Union Square,,4.0,96,OO9SgjbLi3nyt63hRir0LQ,['barreclasses'],10011
False,Jivamukti Yoga Center,,3.5,168,l3qEWvP5-i69GOyYps0Eeg,['yoga'],10011
False,Jefferson Market Garden,,4.5,22,70q9dO1038J3UK2UzJEIhA,['parks'],10011
False,Kore,,4.0,71,SSDOQg0x9bgU1g3oOSPnEQ,['intervaltraininggyms'],10011
